Movie Title,Genre,Runtime (min),Box Office ($),Metacritic Rating,IMDb Rating,Release Year
The Woman of Bronze,"Drama, Romance",60 min,N/A,N/A,N/A,1923
Buried,"Drama, Mystery, Thriller",95 min,"$1,044,143",65,7.0,2010
Hearts and Fists,Drama,N/A,N/A,N/A,N/A,1926
Netherbeast Incorporated,"Comedy, Fantasy, Horror",93 min,N/A,N/A,5.5,2007
Rocky Mountain Christmas,Romance,90 min,N/A,N/A,6.5,2017
Sunshine State,"Drama, Romance",141 min,"$3,065,921",69,6.8,2002
The Prince of Egypt,"Animation, Adventure, Drama",99 min,"$101,413,188",64,7.2,1998
The War at Home,"Comedy, Romance",30 min,N/A,N/A,7.5,2005–2007
Puss in Boots,"Animation, Action, Adventure",90 min,"$149,260,504",65,6.6,2011
Drums of Love,"Drama, Romance",100 min,N/A,N/A,5.5,1928
Centennial Summer,"History, Music, Romance",102 min,N/A,N/A,6.1,1946
Young Frankenstein,Comedy,106 min,"$86,273,333",83,8.0,1974
Don't Play Us Cheap,"Comedy, Musical, Romance",99 min,N/A,N/A,5.6,1972
The World and Its Woman,Drama,70 min,N/A,N/A,6.2,1919
Starman,"Romance, Sci-Fi",115 min,"$28,744,356",70,7.0,1984
Lillo of the Sulu Seas,"Short, Romance",N/A,N/A,N/A,N/A,1916
Powdersmoke Range,Western,72 min,N/A,N/A,6.5,1935
What a Wife Learned,Drama,70 min,N/A,N/A,N/A,1923
Date Night,"Comedy, Crime, Romance",88 min,"$98,711,404",56,6.3,2010
The Time Traveler's Wife,"Comedy, Drama, Fantasy",107 min,"$63,414,846",47,7.1,2009
Mummy's Boys,Comedy,68 min,N/A,N/A,5.1,1936
The Winning Stroke,"Adult, Comedy",58 min,N/A,N/A,5.5,1973
Wiretapper,"Action, Biography, Crime",80 min,N/A,N/A,5.7,1955
Honolulu Lu,"Comedy, Romance",72 min,N/A,N/A,6.1,1941
Sadie Thompson,Drama,97 min,N/A,N/A,7.2,1928
The Ugly Dachshund,"Comedy, Family",93 min,"$13,516,000",N/A,6.5,1966
Her Husband's Affairs,"Comedy, Sci-Fi",84 min,N/A,N/A,6.0,1947
Vigilantes of Dodge City,Western,54 min,N/A,N/A,7.1,1944
Bend of the River,"Action, Adventure, Drama",91 min,N/A,N/A,7.2,1952
For the Service,Western,65 min,N/A,N/A,5.4,1936
One of the Hollywood Ten,Drama,109 min,N/A,N/A,6.1,2000
The Nebraskan,"Drama, Western",68 min,N/A,N/A,4.8,1953
The Barker,Drama,80 min,N/A,N/A,7.1,1928
Married in Hollywood,"Musical, Romance",110 min,N/A,N/A,N/A,1929
The Legend of Alfred Packer,"Adventure, Biography, Drama",93 min,N/A,N/A,5.1,1980
His Master's Voice,"Drama, Sci-Fi",108 min,N/A,N/A,5.8,2018
Neptune's Daughter,"Comedy, Musical, Romance",95 min,N/A,N/A,6.3,1949
Waiting for the Moon,Drama,88 min,"$751,555",N/A,6.3,1987
Young Adult,"Comedy, Drama",94 min,"$16,311,571",71,6.3,2011
How to Deal,"Comedy, Drama, Romance",101 min,"$14,195,227",45,5.6,2003
Brown of Harvard,"Action, Drama, Romance",85 min,N/A,N/A,6.2,1926
A Little Night Music,"Comedy, Musical, Romance",124 min,N/A,N/A,5.4,1977
The Monster Club,"Comedy, Horror, Musical",104 min,N/A,45,5.9,1981
Homeward Bound: The Incredible Journey,"Adventure, Comedy, Drama",84 min,"$41,833,324",N/A,6.9,1993
X the Unknown,"Horror, Sci-Fi",81 min,N/A,N/A,6.1,1956
Baby It's You,"Comedy, Drama, Romance",105 min,"$1,867,792",N/A,6.4,1983
Nightmare Alley,"Crime, Drama, Thriller",150 min,"$11,338,107",70,7.0,2021
A Desperate Chance for Ellery Queen,"Comedy, Crime, Drama",70 min,N/A,N/A,5.6,1942
Claudia and David,"Comedy, Drama",78 min,N/A,N/A,6.2,1946
